id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude,geometry
Farmacia_11.101.348,Bifarma,Drogaria Bifarma,Rua,Av. das Nações Unidas,Vila Almeida,04795100,Farmacia,-23.779579,-45.358564,POINT (-45.358564 -23.779579)
Farmacia_11.101.353,Drogaria Sp,Drogaria Sao Paulo,Rua,Estr. de Itapecerica,Jardim Vista Linda,05858000,Farmacia,47.550305,9.692203,POINT (9.692203 47.550305)
Farmacia_11.101.354,Drogasil,Drogasil,Rua,Av. dos Nacionalistas,Jardim Tango,03901010,Farmacia,-23.652387,-46.533937,POINT (-46.533937 -23.652387)
Farmacia_11.101.363,Drogasil,Drogasil,Rua,Av. Cupecê,Jardim Prudência,04366000,Farmacia,-23.652387,-46.533937,POINT (-46.533937 -23.652387)
Farmacia_11.101.375,Drogaria Sp,Drogaria Sao Paulo,Rua,R. Costa Barros,Sítio Pinheirinho,03210001,Farmacia,-23.436673,-46.300431,POINT (-46.300431 -23.436673)
Farmacia_11.101.387,Nissei,Farmacias Nissei,Rua,Av. dos Remédios,Vila Santa Edwiges,05107001,Farmacia,-22.773612,-45.199056,POINT (-45.199056 -22.773612)
Farmacia_11.101.396,Farma Conde,Farma Conde,Rua,Parque Fernanda,Parque Fernanda,05889350,Farmacia,-33.635329,-70.573105,POINT (-70.573105 -33.635329)
Farmacia_11.101.399,Drogaria Sp,Drogaria Sao Paulo,Rua,R. Clélia,Água Branca,05042000,Farmacia,-22.751938,-47.629119,POINT (-47.629119 -22.751938)
Farmacia_11.101.407,Drogaria Sp,Drogaria Sao Paulo,Rua,Av. Santa Catarina,Vila Santa Catarina,04378300,Farmacia,-23.39396935,-49.51227955060724,POINT (-49.51227955060724 -23.39396935)
Farmacia_11.101.416,Bifarma,Drogarias Bifarma,Rua,R. Parapuã,Itaberaba,02831001,Farmacia,-23.679241,-46.627012,POINT (-46.627012 -23.679241)
Farmacia_11.101.459,Farma Conde,Farma Conde,Rua,Av. Sapopemba,Jardim Adutora,03988010,Farmacia,-23.620798,-46.513838,POINT (-46.513838 -23.620798)
Farmacia_11.101.461,Drogaria Sp,Drogaria Sao Paulo,Rua,Av. Pires do Rio,Vila Americana,08020000,Farmacia,-22.738712,-47.330784,POINT (-47.330784 -22.738712)
Farmacia_11.101.471,Drogaria Sp,Drogaria Sao Paulo,Rua,Av. Parada Pinto,Vila Nova Cachoeirinha,02611002,Farmacia,-23.895597,-46.425581,POINT (-46.425581 -23.895597)
Farmacia_11.101.474,Farmácias Pague Menos,Farmacia Pague Menos,Rua,Rua Alexandre Dumas,Jardim Hipico,04717003,Farmacia,-23.652387,-46.533937,POINT (-46.533937 -23.652387)
Farmacia_11.101.492,Drogaria Sp,Drogaria Sao Paulo,Rua,Estr. do Campo Limpo,Vila Prel,05777000,Farmacia,-22.109489,-49.070391,POINT (-49.070391 -22.109489)
Farmacia_11.101.501,Ultrafarma Popular,Ultrafarma Popular Jardim Grimaldi,Rua,Av. Sapopemba,Jardim Grimaldi,03988000,Farmacia,-23.620798,-46.513838,POINT (-46.513838 -23.620798)
Farmacia_11.101.505,Drogasil,Drogasil Jardim Mimar,Rua,Av. do Oratório,Jardim Angela (zona Leste),03221300,Farmacia,-23.680441,-46.803882,POINT (-46.803882 -23.680441)
Farmacia_11.101.513,Ultrafarma Popular,Ultrafarma Popular,Rua,Rua Itajuíbe,Jardim Nélia,08142000,Farmacia,-23.433154,-46.426771,POINT (-46.426771 -23.433154)
Farmacia_11.101.514,Droga Raia,Droga Raia,Rua,Av. Benedito Andrade,Jardim Sao Jose,02936000,Farmacia,-22.921308117352755,-45.44271200602805,POINT (-45.44271200602805 -22.921308117352755)
Farmacia_11.101.517,Drogaria Sp,Drogaria Sao Paulo,Rua,Av. Atlântica,Jardim Tres Marias,04772003,Farmacia,-23.689684605334257,-46.55341997314051,POINT (-46.55341997314051 -23.689684605334257)
Farmacia_11.101.518,Bifarma,Drogaria Bifarma Pedra Branca,Rua,Av. Santa Inês,Vila Pedra Branca,02631000,Farmacia,-20.53751,-47.40203,POINT (-47.40203 -20.53751)
Farmacia_11.101.522,Bifarma,Drogarias Bifarma,Rua,Av. Adélia Chohfi,Jardim Vera Cruz(zona Leste),08320390,Farmacia,-23.652387,-46.533937,POINT (-46.533937 -23.652387)
Farmacia_11.101.527,Drogaria Sp,Drogaria Sao Paulo,Rua,Rod. Raposo Tavares,Jardim Boa Vista (zona Oeste),05576200,Farmacia,-23.586236,-46.811597,POINT (-46.811597 -23.586236)
