id,Rede,Nome,Nome.1,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude
Faculdade_2.892.159,Privada,Faculdade de Tecnologia Senai Conde José Vicente de Azevedo,Faculdade de Tecnologia Senai Conde José Vicente de Azevedo,Rua,R Moreira de Godói 226,Ipiranga,04266-060,Faculdade,-23.592705,-46.611414
Faculdade_2.892.160,Privada,Faculdade de Tecnologia do Senai Horácio Augusto da Silveira,Faculdade de Tecnologia Senai Horácio Augusto da Silveira,Rua,R Tagipuru 242,Barra Funda,01156-000,Faculdade,-23.529386,-46.664674
Faculdade_2.892.166,Privada,Centro Universitário Senac,Unidade Tiradentes,Rua,Av Tiradentes 822,Luz,01102-000,Faculdade,-23.465839,-46.534647
Faculdade_2.892.168,Privada,Escola Dieese de Ciências do Trabalho,Sede,Rua,R Aurora 957,Santa Efigênia,01209-001,Faculdade,-23.552139,-46.647198
Faculdade_2.892.170,Privada,Universidade Anhembi Morumbi,Campus Paulista II,Rua,R Treze de Maio 1266,Bela Vista,01327-000,Faculdade,-23.564438,-46.64579
Faculdade_4.276.234,Privada,Centro Universitário das Faculdades Metropolitanas Unidas,Fmu - Liberdade - Clínicas,Rua,R Taguá 407,Liberdade,01508-010,Faculdade,-23.562886,-46.636126
Faculdade_4.276.264,Privada,Universidade Paulista,Campus VII - Marquês,Rua,Av Marquês de São Vicente 3001,Água Branca,05036-040,Faculdade,-23.967735,-46.38477
Faculdade_4.276.279,Privada,Centro Universitário das Américas,Rua Augusta,Rua,R Augusta 1520,Consolação,01305-100,Faculdade,-23.556691,-46.658803
Faculdade_4.278.222,Pública,Faculdade de Tecnologia do Tatuapé,Campus Principal,Rua,R Antônio de Barros 800,Tatuapé,03401-000,Faculdade,-23.537295,-46.558481
Faculdade_4.278.223,Pública,Faculdade de Tecnologia de Itaquera,Campus Principal,Rua,Av Miguel Ignácio Curi S/N,Vila Carmosina,08295-005,Faculdade,-23.545906,-46.471879
Faculdade_4.827.654,Privada,Centro Universitário Estácio de São Paulo,Conceição,Rua,Av Engenheiro Armando de Arruda Pereira 673,Jabaquara,04309-010,Faculdade,-23.633904,-46.642557
Faculdade_4.827.656,Privada,Faculdade Cultura Inglesa,São Paulo-higienópolis,Rua,R Maranhão 416,Higienópolis,01240-000,Faculdade,-23.621007,-46.5673
