id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude,geometry
Escola Privada_1769992,Privada,Cr P Conv Dona Ana Rosa Inst,Rua,"Mario Dias, 113",Jardim Trussardi,5519110,Escola Privada,-23.5880541,-46.7305229,POINT (-46.7305229 -23.5880541)
Escola Privada_1770000,Privada,Cr P Conv Blandina Meirelles,Rua,"Jose Joaquim Seabra, 1245",Jardim IVana,5364000,Escola Privada,-23.57267,-46.7525546,POINT (-46.7525546 -23.57267)
Escola Privada_1770008,Privada,Cei Indir Noite Encantada VII,Rua,"Nazir Miguel, 270",Jardim Paulo Vi,5570030,Escola Privada,-23.6026998,-46.7928761,POINT (-46.7928761 -23.6026998)
Escola Privada_1770018,Privada,Cr P Conv Recanto da Alegria I,Rua,"Francisco Rebolo, 6",Jardim Panorama D Oeste,5679050,Escola Privada,-23.6019238,-46.7003206,POINT (-46.7003206 -23.6019238)
Escola Privada_1770019,Privada,Cei Indir Italo Brasil Portieri,Rua,"Pedro de Toledo, 1809",Vila Clementino,4039034,Escola Privada,-23.5979734,-46.6479755,POINT (-46.6479755 -23.5979734)
Escola Privada_1770036,Privada,Cr P Conv Sao Francisco - Asa,Rua,"Joao Millam, 132",Jardim Ester,5373080,Escola Privada,-23.5849853,-46.7586431,POINT (-46.7586431 -23.5849853)
Escola Privada_1770044,Privada,Cr P Conv Claret,Rua,"Jaguaribe, 735",Vila Buarque,1224001,Escola Privada,-23.5416658,-46.6512246,POINT (-46.6512246 -23.5416658)
Escola Privada_1770046,Privada,Cr P Conv Nossa Senhora do Rosario,Rua,"Guiara, 72",Vila Pompeia,5025020,Escola Privada,-23.5335837,-46.6908422,POINT (-46.6908422 -23.5335837)
Escola Privada_1770059,Privada,Cei Indir Ponte Pequena,Rua,"Santos Dumont, 843",Luz,1101000,Escola Privada,-23.5179418,-46.6298909,POINT (-46.6298909 -23.5179418)
Escola Privada_1770163,Privada,Marco Paulista Colegio,Rua,"Barreira Grande, 626",Jardim Colorado,3386000,Escola Privada,-23.5867022,-46.5173705,POINT (-46.5173705 -23.5867022)
Escola Privada_1770189,Privada,Sagrada Familia Centro Educacional,Rua,"Imbiras, 278",Vila Nova Mazzei,2316000,Escola Privada,-23.4615633,-46.594345,POINT (-46.594345 -23.4615633)
Escola Privada_1770194,Privada,Esc Part Kindergarten Guilherme Tell,Rua,"Maratona, 16",Vila Alexandria,4635040,Escola Privada,-23.642306,-46.6705143,POINT (-46.6705143 -23.642306)
Escola Privada_1770212,Privada,Instituto Educacional Curumim,Rua,"Rua Crispo, 46",Jardim Cris,5834080,Escola Privada,-23.6714371,-46.7535691,POINT (-46.7535691 -23.6714371)
Escola Privada_1770233,Privada,Uniao Senior Instituto de Educacao,Rua,"Celestino Sao, 38",Jardim Iracema,5847580,Escola Privada,-23.6519228,-46.7502121,POINT (-46.7502121 -23.6519228)
Escola Privada_1770238,Privada,Portinari Instituto Educacional,Rua,"Lourenco Saporito, 142",Jardim Ana Maria,5757200,Escola Privada,-23.625606,-46.7632961,POINT (-46.7632961 -23.625606)
Escola Privada_1770268,Privada,Apolo Colegio,Rua,"Francisco Mont Alverne, 452",Jardim das Esmeraldas,5549210,Escola Privada,-23.5984033,-46.765294,POINT (-46.765294 -23.5984033)
Escola Privada_1770274,Privada,Solucao Colegio,Rua,"Rua Balsamo, 91",Jardim Eliane,3577060,Escola Privada,-23.5521083,-46.502142,POINT (-46.502142 -23.5521083)
Escola Privada_1770275,Privada,Sao Paulo Futuro Colegio,Rua,"Francisco Vieira Bueno, 2541",Vila Primavera,3390000,Escola Privada,-23.5921978,-46.5283142,POINT (-46.5283142 -23.5921978)
Escola Privada_1770276,Privada,Policia Militar Colegio da Unidade Vila Talarico,Rua,"Bento Quirino, 467",Vila Talarico,3534010,Escola Privada,-23.5441894,-46.5109174,POINT (-46.5109174 -23.5441894)
Escola Privada_1770304,Privada,Colegio Dell Aringa II,Rua,"Do Horto, 222",Horto Florestal,2377000,Escola Privada,-23.4596195,-46.6311687,POINT (-46.6311687 -23.4596195)
Escola Privada_1770382,Privada,Arcieri Ciampone Colegio,Rua,"Manuel Correia, 418",Vila Palmeiras,2728050,Escola Privada,-23.4970677,-46.6889702,POINT (-46.6889702 -23.4970677)
Escola Privada_1770394,Privada,Ricaro Colegio Unidade II,Rua,"Artur Fajardo Doutor, 118",Chacara Nossa Senhora Aparecida,2963000,Escola Privada,-23.4875326,-46.699426,POINT (-46.699426 -23.4875326)
Escola Privada_1770458,Privada,Anterros Colegio,Rua,"Taipas, 4016",Jardim Rincao,2991000,Escola Privada,-23.4417252,-46.732784,POINT (-46.732784 -23.4417252)
Escola Privada_1770503,Privada,Sao Francisco de Assis Instituto de Ensino,Rua,"Nova do Tuparoquera, 70",Jardim Sao Luiz,5805000,Escola Privada,-23.6512042,-46.7337272,POINT (-46.7337272 -23.6512042)
Escola Privada_1770563,Privada,Rene Descartes Colegio,Rua,"Mauricio de Lacerda Doutor, 180",Sao Judas,4303190,Escola Privada,-23.6256259,-46.6352477,POINT (-46.6352477 -23.6256259)
Escola Privada_1770564,Privada,Esc Part Trem Azul Escola,Rua,"Santa Rita D Oeste, 74",Vila do Encontro,4343060,Escola Privada,-23.6350712,-46.6451633,POINT (-46.6451633 -23.6350712)
Escola Privada_1770579,Privada,Esc Part Peixinho Dourado e e I,Rua,"Pangaua, 450",Vila Re,3665010,Escola Privada,-23.5269415,-46.4973863,POINT (-46.4973863 -23.5269415)
Escola Privada_1770581,Privada,Prisma Escola de Educacao Integral,Rua,"Avenida Atthos Tomas Ferracio, 25",Jardim Maraca,5861020,Escola Privada,-23.669991,-46.772856,POINT (-46.772856 -23.669991)
Escola Privada_1770736,Privada,Sao Jose do Maranhao Colegio,Rua,"Arnaldo Cintra, 72",Vila Moreira,3088000,Escola Privada,-23.5274163,-46.5613486,POINT (-46.5613486 -23.5274163)
Escola Privada_1770816,Privada,Vinicius de Moraes Colegio,Rua,"Vilela Junior Brigadeiro, 179",Jardim Cachoeira,2763000,Escola Privada,-23.4792436,-46.6755158,POINT (-46.6755158 -23.4792436)
Escola Privada_1770929,Privada,Joaquim Maria Machado de Assis Colegio,Rua,"Rua dos Professores, 348",Engenheiro Goulart,3725000,Escola Privada,-23.5023348,-46.5213827,POINT (-46.5213827 -23.5023348)
Escola Privada_1770975,Privada,San Marcos Colegio,Rua,"Cantidio Sampaio Deputado, 5307",Vila Souza,2860000,Escola Privada,-23.4550044,-46.6955123,POINT (-46.6955123 -23.4550044)
Escola Privada_1771006,Privada,Universitario Butanta,Rua,"Boturoca, 132",Vila Indiana,5586010,Escola Privada,-23.5727859,-46.7278922,POINT (-46.7278922 -23.5727859)
Escola Privada_1771011,Privada,Esc Part Ticos Centro de Recr Inf e Des,Rua,"Quata, 696",Vila Olimpia,4546044,Escola Privada,-23.5976627,-46.6791579,POINT (-46.6791579 -23.5976627)
Escola Privada_1771013,Privada,Esc Part Patolandia Educ e Recr Inf,Rua,"Londrina, 33",Vila Londrina,3731060,Escola Privada,-23.5100777,-46.5363271,POINT (-46.5363271 -23.5100777)
Escola Privada_1771017,Privada,Esc Part Virtual Colegio de Educacao Infantil,Rua,"Toutinegra, 105",Vila Marieta,3621030,Escola Privada,-23.5200223,-46.522325,POINT (-46.522325 -23.5200223)
Escola Privada_1771026,Privada,Esc Part Chave do Tamanho,Rua,"Lourenco Vaz, 12",Parque Sao Jorge,3087060,Escola Privada,-23.5289988,-46.5666289,POINT (-46.5666289 -23.5289988)
Escola Privada_1771047,Privada,Arco Iris Colegio,Rua,"Rua Santa Eliza, 342",Vila Santa Clara,3159150,Escola Privada,-23.5788406,-46.5682164,POINT (-46.5682164 -23.5788406)
Escola Privada_1771060,Privada,Integracao Colegio,Rua,"Rua Prof Antonio C Lopes, 613",Erm Matarazzo,3805080,Escola Privada,-23.4996236,-46.4786334,POINT (-46.4786334 -23.4996236)
Escola Privada_1771067,Privada,Esc Part Hora de Aprender - Centro Educ,Rua,"Marco Aurelio, 750",Vila Romana,5048000,Escola Privada,-23.5314778,-46.6993695,POINT (-46.6993695 -23.5314778)
Escola Privada_1771068,Privada,Esc Part Almanaque N I,Rua,"Ponta Pora, 165",Vila Ipojuca,5058000,Escola Privada,-23.5328825,-46.7093166,POINT (-46.7093166 -23.5328825)
Escola Privada_1771100,Privada,Esc Part Ype Recr Inf,Rua,"Do Reno, 90",Vila Moinho Velho,4284070,Escola Privada,-23.6095811,-46.6027235,POINT (-46.6027235 -23.6095811)
Escola Privada_1771115,Privada,Colegio Visconde de Porto Seguro Campus Panamby,Rua,"Itapaiuna, 1355",Jardim Morumbi,5707001,Escola Privada,-23.6362621,-46.7271799,POINT (-46.7271799 -23.6362621)
Escola Privada_1771142,Privada,Gente Miuda Escola de Educacao Infantil e Primeiro Grau,Rua,"Avenida Jose da Rocha Vieira, 475",Pedra Branca,2635090,Escola Privada,-23.4575099,-46.6458946,POINT (-46.6458946 -23.4575099)
