id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude
Academia de Ginastica_11.094.705,Smart Fit,Academia Smart Fit Rio das Pedras,Rua,Av. Rio das Pedras,Jardim Aricanduva,03452-200,Academia de Ginastica,-23.570544,-46.507281
Academia de Ginastica_11.094.706,Smart Fit,Academia Smart Fit Cambuci,Rua,Av. Lins de Vasconcelos,Cambuci,01537-000,Academia de Ginastica,-23.57575,-46.623412
Academia de Ginastica_11.094.707,Panobianco,Panobianco Curuca,Rua,R. Cavoa,Vila Curuçá Velha,08030-180,Academia de Ginastica,-23.496624,-46.423152
Academia de Ginastica_11.094.708,Smart Fit,Academia Smart Fit Capao Redondo,Rua,Av. Comendador Sant'anna,Capão Redondo,05866-000,Academia de Ginastica,-23.668903,-46.773064
Academia de Ginastica_11.094.709,Smart Fit,Academia Smart Fit Morumbi,Rua,R. Aureliano Guimarães,Vila Andrade,05727-160,Academia de Ginastica,-23.627712,-46.73733
Academia de Ginastica_11.094.710,Smart Fit,Academia Smart Fit Vila Madalena,Rua,Av. das Corujas,Sumarezinho,05442-050,Academia de Ginastica,-23.711156,-46.5842
Academia de Ginastica_11.094.711,Smart Fit,Academia Smart Fit Shopping Metro Tucuruvi,Rua,Av. Dr. Antônio Maria Laet,Parada Inglesa,02267-000,Academia de Ginastica,-23.47434,-46.599367
Academia de Ginastica_11.094.712,Smart Fit,Academia Smart Fit Gaivota,Rua,R. Gaivota,Indianópolis,04522-031,Academia de Ginastica,-23.664131,-46.623383
Academia de Ginastica_11.094.713,Smart Fit,Academia Smart Fit Cidade Tiradentes,Rua,Av. Souza Ramos,Guaianases,08490-490,Academia de Ginastica,-23.574702,-46.412111
Academia de Ginastica_11.094.714,Smart Fit,Academia Smart Fit Av Jardim Japao,Rua,Av. Jardim Japão,Vila Constança,02258-000,Academia de Ginastica,-23.552139,-46.647198
Academia de Ginastica_11.094.715,Smart Fit,Academia Smart Fit Capelinha,Rua,Estr. de Itapecerica,Capão Redondo,05835-004,Academia de Ginastica,-23.658826,-46.765459
Academia de Ginastica_11.094.716,Smart Fit,Academia Smart Fit Campo Belo,Rua,R. Antônio de Macedo Soares,Campo Belo,04607-003,Academia de Ginastica,-23.621823,-46.674045
Academia de Ginastica_11.094.717,Smart Fit,Smart Fit Roldao Brasilandia,Rua,Vila Joao Batista,Vila Joao Batista,02675-031,Academia de Ginastica,-23.552139,-46.647198
Academia de Ginastica_11.094.718,Smart Fit,Academia Smart Fit Avenida das Cerejeiras,Rua,Av. das Cerejeiras,Vila Maria,02124-000,Academia de Ginastica,-23.507051,-46.577845
Academia de Ginastica_11.094.719,Smart Fit,Academia Smart Fit Pinheiros,Rua,R. dos Pinheiros,Pinheiros,05422-010,Academia de Ginastica,-23.566829,-46.685687
Academia de Ginastica_11.094.720,Bluefit,Bluefit,Rua,R. Maria Antônia,Vila Buarque,01222-010,Academia de Ginastica,-23.779579,-45.358564
Academia de Ginastica_11.094.721,Panobianco,Panobianco Tremembe,Rua,Av. Nova Cantareira,Tucuruvi,02340-000,Academia de Ginastica,-23.472806,-46.615294
Academia de Ginastica_11.094.722,Smart Fit,Academia Smart Fit Sabbado Dangelo,Rua,R. Sabbado D'ângelo,Vila Brasil,08210-791,Academia de Ginastica,-23.544174,-46.446001
Academia de Ginastica_11.094.723,Bluefit,Bluefit,Rua,R. Tito,Vila Romana,05051-000,Academia de Ginastica,-22.577974,-53.056864
Academia de Ginastica_11.094.724,Smart Fit,Academia Smart Fit Assai Jaguare,Rua,Av. Corifeu de Azevedo Marques,Jaguaré,05340-002,Academia de Ginastica,-23.56694,-46.739765
Academia de Ginastica_11.094.725,Smart Fit,Academia Smart Fit Avenida Mascote,Rua,Av. Mascote,Vila Mascote,04363-000,Academia de Ginastica,23.587279,58.382128
Academia de Ginastica_11.094.726,Smart Fit,Academia Smart Fit Campos Eliseos,Rua,Alameda Barão de Limeira,Campos Elíseos,01202-002,Academia de Ginastica,-24.153674,-46.730025
Academia de Ginastica_11.094.727,Smart Fit,Academia Smart Fit Bom Retiro,Rua,R. dos Italianos,Bom Retiro,01131-000,Academia de Ginastica,-23.524264,-46.643997
Academia de Ginastica_11.094.728,Smart Fit,Academia Smart Fit Perdizes,Rua,R. João Ramalho,Perdizes,05008-002,Academia de Ginastica,-23.535397,-46.673769
Academia de Ginastica_11.094.729,Bio Ritmo,Bio Ritmo Escritorio,Rua,Av. Paulista,Bela Vista,01311-300,Academia de Ginastica,-23.56329,-46.654118
Academia de Ginastica_11.094.730,Smart Fit,Academia Smart Fit Av Ipiranga,Rua,Av. Ipiranga,República,01040-000,Academia de Ginastica,-23.542962,-46.640977
Academia de Ginastica_11.094.731,Smart Fit,Academia Smart Fit Tatuape,Rua,R. Emílio Mallet,Vila Gomes Cardim,03320-001,Academia de Ginastica,11.909094,21.304293
Academia de Ginastica_11.094.732,Smart Fit,Academia Smart Fit Nova Cantareira,Rua,Av. Nova Cantareira,Tucuruvi,02340-020,Academia de Ginastica,-23.472806,-46.615294
Academia de Ginastica_11.094.733,Bio Ritmo,Academia Bio Ritmo Santander Gd,Rua,Av. Interlagos,Vila Arriete,04661-300,Academia de Ginastica,-23.338909,-47.675531
Academia de Ginastica_11.094.734,Smart Fit,Smart Fit Carrefour Raposo Tavares,Rua,Jardim Cláudia,Jardim Cláudia,05577-200,Academia de Ginastica,-20.925638,-48.494468
Academia de Ginastica_11.094.735,Smart Fit,Academia Smart Fit Santa Cruz,Rua,R. Domingos de Morais,Vila Mariana,04036-000,Academia de Ginastica,-23.591979,-46.636388
