longitude,latitude,pt_nome,pt_descric,pt_enderec
-46.79278465095191,-23.42848694222832,"R. LEOPOLDO DE PASSOS LIMA , 656",R D. CAETANO BRANDAO/ R RICARDO DALTON,D. CAETANO BRANDAO/ R RICARDO DALTON
-46.7111265608916,-23.65357170661301,"TERM. STO. AMARO , 0",TR JURCI SOARES SEBASTIAO/ R HUMBOLDT,TR JURCI SOARES SEBASTIAO/ R HUMBOLDT
-46.57119724100076,-23.50596095325201,"R. SG. MIGUEL DE SOUZA FILHO , 23",AV BANDEIRANTES DO SUL/ R SOLDADO JOSE VIVANCO SOLANO,AV BANDEIRANTES DO SUL/ R SOLDADO JOSE VIVANCO SOLANO
-46.66478632632167,-23.54397805656568,"PÇA. CHARLES MILLER , 0",,
-46.77442486008043,-23.70289467484793,"R. TIJUCO DA SERRA , 180",R ANTIPODAS/ R POLINESIA,ANTIPODAS/ R POLINESIA
-46.59905889884784,-23.53767189309983,"AV. CELSO GARCIA , 1324",TR RIBEIRO VIANA/ R SALDANHA MARINHO,TR RIBEIRO VIANA/ R SALDANHA MARINHO
-46.61605398144887,-23.47184223562252,"AV. NOVA CANTAREIRA , 3192",AV NOVA CANTAREIRA/ R AMELIA MONTESANO CAPUANO,AV NOVA CANTAREIRA/ R AMELIA MONTESANO CAPUANO
-46.69968811764794,-23.51959526656037,"TERM. LAPA - PLAT. 2 , 0",VDTO COMENDADOR ELIAS NAGIB BLEIN/ R GUAICURUS,VDTO COMENDADOR ELIAS NAGIB BLEIN/ R GUAICURUS
-46.6685879064941,-23.65673256800856,"R. ANTÔNIO GIL , 1330",R. WILSON VALLIM / R. OSMAR FREGONA,WILSON VALLIM / R. OSMAR FREGONA
-46.47277567115908,-23.62171415129933,"R. DOMINGOS PEIXOTO , 463",R CORREIA BUENO/ AV BARONESA DE MURITIBA,CORREIA BUENO/ AV BARONESA DE MURITIBA
-46.52558664620199,-23.49937585014201,"R. DR. ASSIS RIBEIRO , 2922",R ANTONIO SOUSA LANDIN/ R ROCHA FRAGA,ANTONIO SOUSA LANDIN/ R ROCHA FRAGA
-46.62742336063459,-23.62513158748143,"R. FRANCISCO TAPAJÓS , 110",R PROFESSOR JOAO SIMOES/ R AMERICO BRAZ,PROFESSOR JOAO SIMOES/ R AMERICO BRAZ
-46.67573262586727,-23.72056030698528,"AV. PRES. JOÃO GOULART , 2842",R AUGUSTO FILIPE SIMOES/ R PINHEIRO FURTADO,AUGUSTO FILIPE SIMOES/ R PINHEIRO FURTADO
-46.66888515755988,-23.58312389484107,"AV. BRIG. LUÍS ANTÔNIO , 5012",R OLIVEIRA DIAS/ AV SANTO AMARO,OLIVEIRA DIAS/ AV SANTO AMARO
-46.52268449597053,-23.55046461389619,"AV. ARICANDUVA , 3164",R SANTO PERUSSI/ R BARAO DE ITAMARACA,SANTO PERUSSI/ R BARAO DE ITAMARACA
-46.71496366797562,-23.6132168962661,"R. DR. FLÁVIO AMÉRICO MAURANO , 155",R OSCAR DE ALMEIDA/ AV MORUMBI,OSCAR DE ALMEIDA/ AV MORUMBI
-46.70588937025724,-23.72135239207828,"R. FREDERICO RENÉ DE JAEGHER , 1153",R SIZENANDO D OLIVEIRA/ R VIRGINIA MARIA DA CONCEICAO,SIZENANDO D OLIVEIRA/ R VIRGINIA MARIA DA CONCEICAO
-46.60535468677994,-23.58411470501901,"R. XAVIER CURADO , 286",R COSTA AGUIAR/ R CIPRIANO BARATA,COSTA AGUIAR/ R CIPRIANO BARATA
-46.70051413068215,-23.51377429481212,"AV. ERMANO MARCHETTI , 928",AV JOSE MARIA DE FARIA/ R TENENTE LANDY,AV JOSE MARIA DE FARIA/ R TENENTE LANDY
-46.65084409162144,-23.64619756267287,"R. BENEDITO FERREIRA , 33",Rua Prof Carlos Rizzini,ua Prof Carlos Rizzini
-46.71221222459337,-23.45771757796614,"R. DAS PEDRAS , 64",R FRANCISCO REIS/ R S MIGUEL,FRANCISCO REIS/ R S MIGUEL
-46.47593368351667,-23.61037521097589,"AV. MATEO BEI , 3484",R DOUTOR FELICE BUSCAGLIA/ R ERNESTO MANOGRASSO,DOUTOR FELICE BUSCAGLIA/ R ERNESTO MANOGRASSO
-46.76170113750916,-23.65352785509883,"TERM. CAPELINHA - PLAT. 1 , 0",R JOAO FRANCISCO DELMAS/ AV CARLOS CALDEIRA FILHO,JOAO FRANCISCO DELMAS/ AV CARLOS CALDEIRA FILHO
-46.57247190313597,-23.60145753206432,"AV. DR. FRANCISCO MESQUITA , 1555",R  DAS LOBELIAS,DAS LOBELIAS
-46.57787635890703,-23.45499319995256,"R. MÁRIO LAGO , 189",TR ABADA/ R ALFEU DE ALCANTARA MONTEIRO -oposto ao escadão,TR ABADA/ R ALFEU DE ALCANTARA MONTEIRO -oposto ao escadão
-46.6470964824661,-23.54166601526896,"R. AMARAL GURGEL , 59",LRG  DO AROUCHE,LRG  DO AROUCHE
-46.3987124880591,-23.56510818827141,"AV. UTARO KANAI , 280",R PROFESSOR DEMO GHIDELLI/ R FESTA CHINESA,PROFESSOR DEMO GHIDELLI/ R FESTA CHINESA
